Stagione;Giornata;Home;Away;GH;GA;PntH;PntA
2020-21;17;Agghiaggiande;Der Holzfaller;3;2;76;74
2020-21;17;FK Partizena;CSKA Moscow Mule;4;2;82,5;72
2020-21;17;Parter;Los Angeles;1;0;66;64
2020-21;17;Vanndoria;Big Black Cimamori;1;0;70,5;60
2020-21;18;Big Black Cimamori;ACDF;2;2;73,5;73,5
2020-21;18;CSKA Moscow Mule;Vanndoria;2;2;73,5;73,5
2020-21;18;Der Holzfaller;FK Partizena;1;0;66;58
2020-21;18;Los Angeles;Agghiaggiande;1;1;67,5;69,5
2020-21;18;Olympique Bidet;Parter;2;4;75,5;84,5
2020-21;19;Big Black Cimamori;Parter;1;1;66,5;67
2020-21;19;CSKA Moscow Mule;ACDF;0;2;61,5;75
2020-21;19;Der Holzfaller;Vanndoria;2;3;72,5;80,5
2020-21;19;FK Partizena;Agghiaggiande;3;2;76;73
2020-21;19;Olympique Bidet;Los Angeles;3;2;78;71
2020-21;20;ACDF;Der Holzfaller;0;1;64;66
2020-21;20;Agghiaggiande;Olympique Bidet;0;2;62,5;74
2020-21;20;Los Angeles;Big Black Cimamori;0;2;63;71,5
2020-21;20;Parter;CSKA Moscow Mule;2;2;75;73,5
2020-21;20;Vanndoria;FK Partizena;2;2;71;71
2020-21;21;Big Black Cimamori;Olympique Bidet;2;1;73,5;69
2020-21;21;CSKA Moscow Mule;Los Angeles;1;0;70;64,5
2020-21;21;Der Holzfaller;Parter;1;2;67,5;75
2020-21;21;FK Partizena;ACDF;4;0;85,5;63
2020-21;21;Vanndoria;Agghiaggiande;4;4;82;84,5
2020-21;22;ACDF;Vanndoria;0;0;65;62,5
2020-21;22;Agghiaggiande;Big Black Cimamori;2;2;72,5;71,5
2020-21;22;Los Angeles;Der Holzfaller;2;2;73;75,5
2020-21;22;Olympique Bidet;CSKA Moscow Mule;0;2;63,5;71
2020-21;22;Parter;FK Partizena;2;2;75;71,5
2020-21;23;ACDF;Agghiaggiande;0;2;58;74,5
2020-21;23;CSKA Moscow Mule;Big Black Cimamori;2;1;72;67
2020-21;23;Der Holzfaller;Olympique Bidet;4;1;82;69,5
2020-21;23;FK Partizena;Los Angeles;3;2;77,5;72,5
2020-21;23;Vanndoria;Parter;2;1;71;70,5
2020-21;24;Agghiaggiande;CSKA Moscow Mule;1;1;66;66
2020-21;24;Big Black Cimamori;Der Holzfaller;4;1;82,5;70
2020-21;24;Los Angeles;Vanndoria;3;1;77;69,5
2020-21;24;Olympique Bidet;FK Partizena;0;2;65,5;71,5
2020-21;24;Parter;ACDF;4;0;81,5;65,5
2020-21;25;ACDF;Los Angeles;0;0;64;62
2020-21;25;Der Holzfaller;CSKA Moscow Mule;1;1;69,5;69
2020-21;25;FK Partizena;Big Black Cimamori;3;2;79;72,5
2020-21;25;Parter;Agghiaggiande;3;4;76,5;81
2020-21;25;Vanndoria;Olympique Bidet;3;0;80;64
2020-21;26;Big Black Cimamori;Vanndoria;2;0;74;63
2020-21;26;CSKA Moscow Mule;FK Partizena;1;0;68;62
2020-21;26;Der Holzfaller;Agghiaggiande;1;1;66;70
2020-21;26;Los Angeles;Parter;1;2;66,5;71
2020-21;26;Olympique Bidet;ACDF;1;1;68,5;69
2020-21;27;ACDF;Big Black Cimamori;0;0;64;61
2020-21;27;Agghiaggiande;Los Angeles;1;0;69,5;64
2020-21;27;FK Partizena;Der Holzfaller;3;3;77,5;77
2020-21;27;Parter;Olympique Bidet;2;2;71;72
2020-21;27;Vanndoria;CSKA Moscow Mule;3;2;76;72,5
2020-21;28;ACDF;CSKA Moscow Mule;2;2;74,5;74,5
2020-21;28;Agghiaggiande;FK Partizena;2;1;74,5;66
2020-21;28;Los Angeles;Olympique Bidet;1;1;68,5;69
2020-21;28;Parter;Big Black Cimamori;1;3;67,5;76,5
2020-21;28;Vanndoria;Der Holzfaller;2;2;73,5;74,5
2020-21;29;Big Black Cimamori;Los Angeles;1;0;69,5;64
2020-21;29;CSKA Moscow Mule;Parter;0;2;64,5;71,5
2020-21;29;Der Holzfaller;ACDF;1;1;70;69,5
2020-21;29;FK Partizena;Vanndoria;0;2;63,5;73,5
2020-21;29;Olympique Bidet;Agghiaggiande;3;0;77,5;65,5
2020-21;30;ACDF;FK Partizena;0;1;63,5;68
2020-21;30;Agghiaggiande;Vanndoria;3;1;76;70,5
2020-21;30;Los Angeles;CSKA Moscow Mule;1;1;69;70
2020-21;30;Olympique Bidet;Big Black Cimamori;1;2;70;74,5
2020-21;30;Parter;Der Holzfaller;1;1;66,5;69,5
2020-21;31;Big Black Cimamori;Agghiaggiande;2;0;72,5;63,5
2020-21;31;CSKA Moscow Mule;Olympique Bidet;2;2;73,5;72,5
2020-21;31;Der Holzfaller;Los Angeles;4;1;85,5;70
2020-21;31;FK Partizena;Parter;2;1;72;70,5
2020-21;31;Vanndoria;ACDF;0;0;62,5;62,5
2020-21;32;Agghiaggiande;ACDF;1;3;68,5;79
2020-21;32;Big Black Cimamori;CSKA Moscow Mule;1;2;67,5;71
2020-21;32;Los Angeles;FK Partizena;1;0;69,5;60,5
2020-21;32;Olympique Bidet;Der Holzfaller;3;1;79;70
2020-21;32;Parter;Vanndoria;1;3;67;78
2020-21;33;ACDF;Parter;2;2;75,5;72
2020-21;33;CSKA Moscow Mule;Agghiaggiande;3;0;77,5;60,5
2020-21;33;Der Holzfaller;Big Black Cimamori;4;2;82,5;75,5
2020-21;33;FK Partizena;Olympique Bidet;4;0;81,5;65
2020-21;33;Vanndoria;Los Angeles;3;0;78;62
2020-21;34;Agghiaggiande;Parter;2;3;74,5;76,5
2020-21;34;Big Black Cimamori;FK Partizena;4;2;81;73
2020-21;34;CSKA Moscow Mule;Der Holzfaller;0;1;64,5;67
2020-21;34;Los Angeles;ACDF;2;2;73,5;75
2020-21;34;Olympique Bidet;Vanndoria;3;3;78;76
2020-21;35;ACDF;Olympique Bidet;1;0;67,5;55,5
2020-21;35;Agghiaggiande;Der Holzfaller;2;2;75,5;72,5
2020-21;35;FK Partizena;CSKA Moscow Mule;1;2;67,5;72,5
2020-21;35;Parter;Los Angeles;4;0;83;58,5
2020-21;35;Vanndoria;Big Black Cimamori;1;2;66;72
2020-21;36;Big Black Cimamori;ACDF;0;1;59,5;66
2020-21;36;CSKA Moscow Mule;Vanndoria;3;1;77,5;66
2020-21;36;Der Holzfaller;FK Partizena;1;1;66,5;70
2020-21;36;Los Angeles;Agghiaggiande;0;2;64,5;73,5
2020-21;36;Olympique Bidet;Parter;2;2;74;75,5
2021-22;1;ACDF;Los Angeles;2;1;73;66,5
2021-22;1;Big Black Cimamori;Agghiaggiande;1;1;69,5;68,5
2021-22;1;CSKA Moscow Mule;Parter;3;2;79,5;71,5
2021-22;1;FK Partizena;Der Holzfaller;2;0;74;62
2021-22;1;Vanndoria;Olympique Bidet;0;1;63;70,5
2021-22;2;Agghiaggiande;FK Partizena;1;2;70,5;74
2021-22;2;Der Holzfaller;ACDF;2;2;71;74
2021-22;2;Los Angeles;CSKA Moscow Mule;0;3;64,5;76,5
2021-22;2;Olympique Bidet;Big Black Cimamori;3;2;76;72
2021-22;2;Parter;Vanndoria;1;2;66;73
2021-22;3;ACDF;FK Partizena;1;2;66,5;73,5
2021-22;3;Big Black Cimamori;Parter;4;1;82;70,5
2021-22;3;CSKA Moscow Mule;Der Holzfaller;0;4;62,5;84,5
2021-22;3;Olympique Bidet;Agghiaggiande;1;1;66;69,5
2021-22;3;Vanndoria;Los Angeles;2;1;73;67,5
2021-22;4;Agghiaggiande;ACDF;2;1;72,5;68
2021-22;4;Der Holzfaller;Vanndoria;2;1;72;66,5
2021-22;4;FK Partizena;CSKA Moscow Mule;1;1;68;67
2021-22;4;Los Angeles;Big Black Cimamori;2;2;72,5;72,5
2021-22;4;Parter;Olympique Bidet;2;2;71;72
2021-22;5;Big Black Cimamori;Der Holzfaller;0;2;63,5;72
2021-22;5;CSKA Moscow Mule;ACDF;1;2;69,5;72
2021-22;5;Olympique Bidet;Los Angeles;0;1;62,5;70,5
2021-22;5;Parter;Agghiaggiande;1;2;67,5;74,5
2021-22;5;Vanndoria;FK Partizena;3;1;79;67
2021-22;6;ACDF;Vanndoria;2;4;72,5;81
2021-22;6;Agghiaggiande;CSKA Moscow Mule;1;1;66,5;67
2021-22;6;Der Holzfaller;Olympique Bidet;2;2;71;74,5
2021-22;6;FK Partizena;Big Black Cimamori;1;0;70;58,5
2021-22;6;Los Angeles;Parter;2;0;71;64,5
2021-22;7;Big Black Cimamori;ACDF;0;1;64;69,5
2021-22;7;Los Angeles;Agghiaggiande;0;2;60;73
2021-22;7;Olympique Bidet;FK Partizena;1;2;66,5;72
2021-22;7;Parter;Der Holzfaller;1;2;70,5;75,5
2021-22;7;Vanndoria;CSKA Moscow Mule;0;2;64;71
2021-22;8;ACDF;Olympique Bidet;2;1;72,5;67
2021-22;8;CSKA Moscow Mule;Big Black Cimamori;2;2;71;72,5
2021-22;8;Der Holzfaller;Los Angeles;2;0;72;64,5
2021-22;8;FK Partizena;Parter;3;0;77;65
2021-22;8;Vanndoria;Agghiaggiande;2;2;74,5;72
2021-22;9;Agghiaggiande;Der Holzfaller;0;1;61;68
2021-22;9;Big Black Cimamori;Vanndoria;2;0;74,5;61,5
2021-22;9;Los Angeles;FK Partizena;1;0;68;64,5
2021-22;9;Olympique Bidet;CSKA Moscow Mule;3;2;80;75,5
2021-22;9;Parter;ACDF;2;1;75;69,5
2021-22;10;Agghiaggiande;Big Black Cimamori;1;1;70;67,5
2021-22;10;Der Holzfaller;FK Partizena;2;2;74,5;74,5
2021-22;10;Los Angeles;ACDF;0;3;65;80
2021-22;10;Olympique Bidet;Vanndoria;2;2;72;72,5
2021-22;10;Parter;CSKA Moscow Mule;0;1;64;66
2021-22;11;ACDF;Der Holzfaller;1;2;69;74
2021-22;11;Big Black Cimamori;Olympique Bidet;1;2;66,5;72,5
2021-22;11;CSKA Moscow Mule;Los Angeles;1;2;69;73
2021-22;11;FK Partizena;Agghiaggiande;0;0;61,5;63,5
2021-22;11;Vanndoria;Parter;3;2;78,5;72
2021-22;12;Agghiaggiande;Olympique Bidet;0;0;61,5;63,5
2021-22;12;Der Holzfaller;CSKA Moscow Mule;2;1;74;67
2021-22;12;FK Partizena;ACDF;1;1;67,5;70,5
2021-22;12;Los Angeles;Vanndoria;0;2;63;73,5
2021-22;12;Parter;Big Black Cimamori;1;3;68,5;78
2021-22;13;ACDF;Agghiaggiande;2;0;74;65,5
2021-22;13;Big Black Cimamori;Los Angeles;0;1;63,5;68,5
2021-22;13;CSKA Moscow Mule;FK Partizena;3;2;80;75,5
2021-22;13;Olympique Bidet;Parter;1;1;67;70,5
2021-22;13;Vanndoria;Der Holzfaller;4;2;83;74,5
2021-22;14;ACDF;CSKA Moscow Mule;2;0;72,5;63,5
2021-22;14;Agghiaggiande;Parter;2;4;71,5;82
2021-22;14;Der Holzfaller;Big Black Cimamori;0;0;63,5;64
2021-22;14;FK Partizena;Vanndoria;2;1;75;66,5
2021-22;14;Los Angeles;Olympique Bidet;2;3;71;76,5
2021-22;15;Big Black Cimamori;FK Partizena;1;2;66,5;73
2021-22;15;CSKA Moscow Mule;Agghiaggiande;2;1;72,5;69
2021-22;15;Olympique Bidet;Der Holzfaller;1;3;68;79
2021-22;15;Parter;Los Angeles;2;3;75;76
2021-22;15;Vanndoria;ACDF;1;3;70,5;76,5
