Nome;Stagione;QI;QA;Diff;VI;VA;VFA
MKHITARYAN;2022-23;16;13;-3;8,2;8,05;8,12
MONTIPO';2022-23;11;11;0;0,1;0,1;0,1
MORO;2022-23;1;1;0;2,8;2,8;2,8
MULDUR;2022-23;5;1;-4;0,55;0,35;0,45
MURIEL;2022-23;13;13;0;4,5;4,5;4,5
MUSSO;2022-23;13;12;-1;0,5;0,45;0,47
NASTASIC;2022-23;1;1;0;1,85;1,85;1,85
NIKOLAOU;2022-23;4;4;0;0,2;0,2;0,2
NUYTINCK;2022-23;7;4;-3;0,95;0,8;0,88
NZOLA;2022-23;13;26;13;3,65;4,3;3,97
ORSOLINI;2022-23;15;15;0;5;5;5
OSIMHEN;2022-23;40;40;0;12,45;12,45;12,45
PALOMINO;2022-23;10;4;-6;0,65;0,35;0,5
PARISI;2022-23;8;15;7;0,15;0,5;0,33
PASALIC;2022-23;14;14;0;2,5;2,5;2,5
PATRIC;2022-23;5;6;1;0,45;0,5;0,47
PEDRO;2022-23;19;19;0;4,05;4,05;4,05
PELLEGRI;2022-23;8;7;-1;0,1;0,05;0,08
PELLEGRINI LO.;2022-23;26;15;-11;1,3;0,75;1,02
PEREYRA;2022-23;18;19;1;4,9;4,95;4,93
PERIN;2022-23;1;7;6;0,4;0,7;0,55
PESSINA;2022-23;13;16;3;0,55;0,7;0,62
PETAGNA;2022-23;14;10;-4;1,65;1,45;1,55
PICCOLI;2022-23;12;3;-9;1,8;1,35;1,58
PINAMONTI;2022-23;14;13;-1;1,95;1,9;1,92
PINSOGLIO;2022-23;1;1;0;0,15;0,15;0,15
POBEGA;2022-23;9;7;-2;2,8;2,7;2,75
POLITANO;2022-23;15;18;3;0,9;1,05;0,98
PROVEDEL;2022-23;7;16;9;0,05;0,5;0,28
QUAGLIARELLA;2022-23;10;4;-6;2,25;1,95;2,1
RABIOT;2022-23;7;18;11;1,55;2,1;1,83
RAFAEL LEAO;2022-23;30;33;3;2,7;2,85;2,78
RASPADORI;2022-23;20;8;-12;5,65;5,05;5,35
REBIC;2022-23;18;16;-2;2,15;2,05;2,1
RICCI S.;2022-23;7;12;5;2,2;2,45;2,33
RODRIGO BECAO;2022-23;10;11;1;1,15;1,2;1,17
RODRIGUEZ R.;2022-23;8;8;0;0,8;0,8;0,8
ROGERIO;2022-23;5;6;1;1,85;1,9;1,88
ROMAGNOLI;2022-23;11;14;3;1,45;1,6;1,52
ROMERO L.;2022-23;2;4;2;0,7;0,8;0,75
ROVELLA;2022-23;3;6;3;0,55;0,7;0,62
RRAHMANI;2022-23;14;10;-4;0,4;0,2;0,3
RUGANI;2022-23;5;3;-2;0,1;0,05;0,08
RUGGERI;2022-23;1;3;2;2,05;2,15;2,1
RUI PATRICIO;2022-23;14;14;0;6;6;6
RUIZ;2022-23;19;18;-1;4,7;4,65;4,68
SAELEMAEKERS;2022-23;8;4;-4;2;1,8;1,9
SAMARDZIC;2022-23;8;21;13;0,45;1,1;0,78
SANABRIA;2022-23;21;18;-3;2,55;2,4;2,47
SANSONE;2022-23;6;4;-2;0,5;0,4;0,45
SAPONARA;2022-23;9;9;0;0,2;0,2;0,2
SCALVINI;2022-23;6;13;7;0,25;0,6;0,43
SCHOUTEN;2022-23;9;5;-4;0,15;0,05;0,1
SENSI;2022-23;12;11;-1;2,85;2,8;2,83
SHOMURODOV;2022-23;11;3;-8;1,35;0,95;1,15
SILVESTRI;2022-23;10;14;4;0,6;0,8;0,7
SIMEONE;2022-23;25;20;-5;1,8;1,55;1,68
SINGO;2022-23;13;6;-7;2,9;2,55;2,72
SIRIGU;2022-23;1;1;0;1,05;1,05;1,05
SKORUPSKI;2022-23;11;9;-2;0,65;0,55;0,6
SKRINIAR;2022-23;16;8;-8;2,35;1,95;2,15
SMALLING;2022-23;14;19;5;3,05;3,3;3,17
SOPPY;2022-23;7;5;-2;0,15;0,05;0,1
SORIANO;2022-23;12;11;-1;0,45;0,4;0,43
SOTTIL;2022-23;8;8;0;1,95;1,95;1,95
SOUMAORO;2022-23;5;5;0;0,05;0,05;0,05
SPINAZZOLA;2022-23;13;7;-6;2,5;2,2;2,35
SPORTIELLO;2022-23;1;7;6;0,25;0,55;0,4
SZCZESNY;2022-23;16;14;-2;2,3;2,2;2,25
TAMEZE;2022-23;14;6;-8;1,8;1,4;1,6
TATARUSANU;2022-23;1;8;7;0,05;0,4;0,23
TERRACCIANO;2022-23;1;9;8;0,5;0,9;0,7
TOLOI;2022-23;8;12;4;0,8;1;0,9
TOMORI;2022-23;15;13;-2;2;1,9;1,95
TONALI;2022-23;16;16;0;2,3;2,3;2,3
TRAORE' HJ.;2022-23;18;9;-9;1,25;0,8;1,02
UDOGIE;2022-23;13;15;2;4,55;4,65;4,6
VASQUEZ;2022-23;6;2;-4;0,1;0,05;0,08
VECINO;2022-23;7;10;3;2;2,15;2,08
VENUTI;2022-23;3;4;1;0,1;0,15;0,12
VERDE;2022-23;18;6;-12;0,95;0,35;0,65
VERDI;2022-23;13;11;-2;1,65;1,55;1,6
VICARIO;2022-23;9;16;7;1,4;1,75;1,57
VIGNATO;2022-23;3;2;-1;0,5;0,45;0,47
VINA;2022-23;3;1;-2;2,9;2,8;2,85
VLAHOVIC;2022-23;31;31;0;14,65;14,65;14,65
VOJVODA;2022-23;9;10;1;0,1;0,15;0,12
WALACE;2022-23;9;7;-2;0,5;0,4;0,45
YEPES;2022-23;3;1;-2;0,05;0,05;0,05
ZACCAGNI;2022-23;20;32;12;7,5;8,1;7,8
ZAKARIA;2022-23;10;10;0;3,05;3,05;3,05
ZALEWSKI;2022-23;7;9;2;1,6;1,7;1,65
ZAMBO ANGUISSA;2022-23;12;21;9;0,45;0,9;0,68
ZANIOLO;2022-23;19;9;-10;7;6,5;6,75
