ID;Nome;Data_nascita;Luogo_nascita;Nazionalita;url
BERARDI;BERARDI Domenico;01/08/1994;Cariati;Italia;https://img.a.transfermarkt.technology/portrait/header/177843-1596099380.jpg?lm=1
BERARDI A;BERARDI Alessandro;16/01/1991;Roma;Italia;
BERENGUER;BERENGUER Alejandro;04/07/1995;Pamplona;Spagna;
BERESZYNSKI;BERESZYNSKI Bartosz;12/07/1992;Poznan;Polonia;https://img.a.transfermarkt.technology/portrait/header/144143-1661351826.jpg?lm=1
BERISHA E;BERISHA Etrit;10/03/1989;Pristina;Albania;
BERISHA V;BERISHA Valon;07/02/1993;Malmo;Kosovo;
BERNARDESCHI;BERNARDESCHI Federico;16/02/1994;Carrara;Italia;
BERNI;BERNI Tommaso;06/03/1983;Firenze;Italia;
BESSA;BESSA Daniel;14/01/1993;San Paolo;Italia;
BETO;BETO;31/01/1998;Lisbona;Portogallo;https://img.a.transfermarkt.technology/portrait/header/595809-1638540682.jpg?lm=1
BIANDA;BIANDA William;30/04/2000;Suresnes;Francia;
BIGLIA;BIGLIA Lucas;30/01/1986;Mercedes;Argentina;
BINKS;BINKS Luis;02/09/2001;Gillingham;Inghilterra;
BIRAGHI;BIRAGHI Cristiano;01/09/1992;Cernusco sul Naviglio;Italia;https://img.a.transfermarkt.technology/portrait/header/124555-1595933275.jpg?lm=1
BIRASCHI;BIRASCHI Davide;02/07/1994;Roma;Italia;
BIRINDELLI;BIRINDELLI Samuele;19/07/1999;Pisa;Italia;https://img.a.transfermarkt.technology/portrait/header/461019-1613547152.jpg?lm=1
BIRSA;BIRSA Valter;07/08/1986;San Pietro;Slovenia;
BISOLI;BISOLI Dimitri;25/03/1994;Cagliari;Italia;
BLEVE;BLEVE Marco;18/10/1995;San Cesario di Lecce;Italia;
BOATENG;BOATENG Kevin-Prince;06/03/1987;Berlino;Ghana;
BOCCHETTI;BOCCHETTI Salvatore;30/11/1986;Napoli;Italia;
BOER;BOER Pietro;12/05/2002;Mestre;Italia;https://img.a.transfermarkt.technology/portrait/header/581604-1607942623.jpg?lm=1
BOGA;BOGA Jeremie;03/01/1997;Marsiglia;Costa d'Avorio;https://img.a.transfermarkt.technology/portrait/header/216569-1661509174.jpg?lm=1
BONAVENTURA;BONAVENTURA Giacomo;22/08/1989;San Severino Marche;Italia;https://img.a.transfermarkt.technology/portrait/header/57280-1583922211.jpg?lm=1
BONAZZOLI;BONAZZOLI Federico;21/05/1997;Manerbio;Italia;https://img.a.transfermarkt.technology/portrait/header/241527-1595582645.jpg?lm=1
BONDO;BONDO Warren;15/09/2003;Evry;Francia;https://img.a.transfermarkt.technology/portrait/header/659516-1632825972.jpg?lm=1
BONIFAZI;BONIFAZI Kevin;19/05/1996;Toffia;Italia;https://img.a.transfermarkt.technology/portrait/header/247377-1595912547.jpg?lm=1
BONUCCI;BONUCCI Leonardo;01/05/1987;Viterbo;Italia;https://img.a.transfermarkt.technology/portrait/header/39983-1661268218.jpg?lm=1
BORGHETTO;BORGHETTO Nicola;25/11/1999;Jesolo;Italia;
BORINI;BORINI Fabio;29/03/1991;Bentivoglio;Italia;
BORJA VALERO;BORJA VALERO;12/01/1985;Madrid;Spagna;
BOTHEIM;BOTHEIM Erik;10/01/2000;Oslo;Norvegia;https://img.a.transfermarkt.technology/portrait/header/418559-1641212899.png?lm=1
BOUAH;BOUAH Devid;13/08/2001;Roma;Italia;
BOURABIA;BOURABIA Mehdi;07/08/1991;Digione;Marocco;
BOVE;BOVE Edoardo;16/05/2002;Roma;Italia;https://img.a.transfermarkt.technology/portrait/header/562049-1607942853.jpg?lm=1
BRANCOLINI;BRANCOLINI Federico;14/07/2001;Modena;Italia;
BREKALO;BREKALO Josip;23/06/1998;Zagabria;Croazia;
BREMER;BREMER Gleison;18/03/1997;Itapitanga;Brasile;https://img.a.transfermarkt.technology/portrait/header/516716-1661269026.jpg?lm=1
BROZOVIC;BROZOVIC Marcelo;16/11/1992;Zagabria;Croazia;https://img.a.transfermarkt.technology/portrait/header/156617-1661352678.jpg?lm=1
BRUGMAN;BRUGMAN Gaston;07/09/1992;Rosario (URU);Uruguay;
BRUNO ALVES;BRUNO ALVES;27/11/1981;Povoa de Varzim;Portogallo;
BUFFON;BUFFON Gianluigi;28/01/1978;Carrara;Italia;
BUKSA;BUKSA Aleksander;15/01/2003;Cracovia;Polonia;
BUONGIORNO;BUONGIORNO Alessandro;06/06/1999;Torino;Italia;https://img.a.transfermarkt.technology/portrait/header/386446-1598862428.jpg?lm=1
BUSIO;BUSIO Gianluca;28/05/2002;Greensboro;Stati Uniti;
CABRAL;CABRAL Arthur;25/04/1998;Campina Grande;Brasile;https://img.a.transfermarkt.technology/portrait/header/390638-1643722903.jpg?lm=1
CACACE;CACACE Liberato;27/09/2000;Wellington;Nuova Zelanda;https://img.a.transfermarkt.technology/portrait/header/469211-1643724495.jpg?lm=1
CACCIATORE;CACCIATORE Fabrizio;08/10/1986;Torino;Italia;
CACERES;CACERES Martin;07/04/1987;Montevideo;Uruguay;
CAICEDO;CAICEDO Felipe;05/09/1988;Guayaquil;Ecuador;
CALABRIA;CALABRIA Davide;06/12/1996;Brescia;Italia;https://img.a.transfermarkt.technology/portrait/header/262523-1595926678.jpg?lm=1
CALAFIORI;CALAFIORI Riccardo;19/05/2002;Roma;Italia;
CALDARA;CALDARA Mattia;05/05/1994;Bergamo;Italia;https://img.a.transfermarkt.technology/portrait/header/197470-1630656758.jpg?lm=1
CALDERONI;CALDERONI Marco;18/02/1989;Latisana;Italia;
CALDIROLA;CALDIROLA Luca;01/02/1991;Desio;Italia;
CALHANOGLU;CALHANOGLU Hakan;08/02/1994;Mannheim;Turchia;https://img.a.transfermarkt.technology/portrait/header/126414-1596107830.jpg?lm=1
CALLEJON;CALLEJON Jose Maria;11/02/1987;Motril;Spagna;
CAMARA MA.;CAMARA Mady;28/02/1997;Matam;Guinea;https://img.a.transfermarkt.technology/portrait/header/481173-1661924102.jpg?lm=1
CAMBIAGHI;CAMBIAGHI Nicolo;28/12/2000;Monza;Italia;
CAMBIASO;CAMBIASO Andrea;20/02/2000;Genova;Italia;https://img.a.transfermarkt.technology/portrait/header/459658-1630583282.jpg?lm=1
CAN;CAN Emre;12/01/1994;Francoforte sul Meno;Germania;
CANCELLIERI;CANCELLIERI Matteo;12/02/2002;Roma;Italia;https://img.a.transfermarkt.technology/portrait/header/550106-1630660579.jpg?lm=1
CANDREVA;CANDREVA Antonio;28/02/1987;Roma;Italia;https://img.a.transfermarkt.technology/portrait/header/25488-1630591271.jpg?lm=1
CANGIANO;CANGIANO Gianmarco;16/11/2001;Napoli;Italia;
CAPRARI;CAPRARI Gianluca;30/07/1993;Roma;Italia;https://img.a.transfermarkt.technology/portrait/header/146752-1596116430.jpg?lm=1
CAPUTO;CAPUTO Francesco;06/08/1987;Altamura;Italia;https://img.a.transfermarkt.technology/portrait/header/84765-1594717354.jpg?lm=1
CARBONI;CARBONI Andrea;04/02/2001;Sorgono;Italia;https://img.a.transfermarkt.technology/portrait/header/481834-1632215920.jpg?lm=1
CARLES PEREZ;CARLES PEREZ;16/02/1998;Granollers;Spagna;
CARLOS AUGUSTO;CARLOS AUGUSTO;07/01/1999;Campinas;Brasile;https://img.a.transfermarkt.technology/portrait/header/585982-1661515410.jpg?lm=1
CARNESECCHI;CARNESECCHI Marco;01/07/2000;Rimini;Italia;https://img.a.transfermarkt.technology/portrait/header/459763-1598856203.jpg?lm=1
CASALE;CASALE Nicolò;14/02/1998;Negrar;Italia;https://img.a.transfermarkt.technology/portrait/header/389837-1598866713.jpg?lm=1
CASSATA;CASSATA Francesco;16/07/1997;Sarzana;Italia;
CASTAGNE;CASTAGNE Timothy;05/12/1995;Arlon;Belgio;
CASTILLEJO;CASTILLEJO Samu;18/01/1995;Malaga;Spagna;
CASTRO;CASTRO Lucas;09/04/1989;La Plata;Argentina;
CASTROVILLI;CASTROVILLI Gaetano;17/02/1997;Minervino Murge;Italia;https://img.a.transfermarkt.technology/portrait/header/303116-1661511198.jpg?lm=1
CATALDI;CATALDI Danilo;06/08/1994;Roma;Italia;https://img.a.transfermarkt.technology/portrait/header/199733-1661513736.jpg?lm=1
CECCARONI;CECCARONI Pietro;21/12/1995;Sarzana;Italia;
CECCHERINI;CECCHERINI Federico;11/05/1992;Livorno;Italia;https://img.a.transfermarkt.technology/portrait/header/163639-1595916252.jpg?lm=1
CEESAY;CEESAY Assan;17/03/1994;Banjul;Gambia;https://img.a.transfermarkt.technology/portrait/header/388382-1647955223.jpg?lm=1
CEIDE;CEIDE Emil;03/09/2001;Finnsnes;Norvegia;https://img.a.transfermarkt.technology/portrait/header/508371-1642493733.jpg?lm=1
CELIK;CELIK Zeki;17/02/1997;Bursa;Turchia;https://img.a.transfermarkt.technology/portrait/header/251075-1641464889.jpg?lm=1
CEPPITELLI;CEPPITELLI Luca;11/08/1989;Castiglione del Lago;Italia;
CEROFOLINI;CEROFOLINI Michele;04/01/1999;Arezzo;Italia;
CERRI;CERRI Alberto;16/04/1996;Parma;Italia;
CETIN;CETIN Mert;01/01/1997;Cankaya;Turchia;
CHABOT;CHABOT Julian;12/02/1998;Hanau;Germania;
CHANCELLOR;CHANCELLOR Jhon;02/01/1992;Puerto Ordaz;Venezuela;
CHIELLINI;CHIELLINI Giorgio;14/08/1984;Pisa;Italia;
CHIESA;CHIESA Federico;25/10/1997;Genova;Italia;https://img.a.transfermarkt.technology/portrait/header/341092-1596098386.jpg?lm=1
CHIRICHES;CHIRICHES Vlad;14/11/1989;Bacau;Romania;https://img.a.transfermarkt.technology/portrait/header/123261-1657519923.jpg?lm=1
CICIRETTI;CICIRETTI Amato;31/12/1993;Roma;Italia;
CIERVO;CIERVO Riccardo;01/04/2002;Latina;Italia;
CIGARINI;CIGARINI LUCA;20/06/1986;Montecchio Emilia;Italia;
CIONEK;CIONEK Thiago;21/04/1986;Curitiba;Polonia;
CIPRIANO;CIPRIANO Gustavo;26/02/2001;San Paolo;Brasile;
CISTANA;CISTANA Andrea;01/04/1997;Brescia;Italia;
COLLEY;COLLEY Omar;24/10/1992;Banjul;Gambia;https://img.a.transfermarkt.technology/portrait/header/174733-1595859915.jpg?lm=1
COLLEY E.;COLLEY Ebrima;01/02/2000;Serekunda;Gambia;
COLOMBI;COLOMBI Simone;01/07/1991;Seriate;Italia;
COLOMBO;COLOMBO Lorenzo;08/03/2002;Vimercate;Italia;https://img.a.transfermarkt.technology/portrait/header/487843-1599727523.jpg?lm=1
CONSIGLI;CONSIGLI Andrea;27/01/1987;Milano;Italia;https://img.a.transfermarkt.technology/portrait/header/35865-1595849608.jpg?lm=1
CONTI;CONTI Andrea;02/03/1994;Lecco;Italia;https://img.a.transfermarkt.technology/portrait/header/111227-1661351199.jpg?lm=1
CONTINI;CONTINI Nikita;21/05/1996;Cherkasy;Italia;
COPPOLA D.;COPPOLA Diego;28/12/2003;Verona;Italia;https://img.a.transfermarkt.technology/portrait/header/660860-1639064705.jpg?lm=1
CORBO;CORBO Gabriele;11/01/2000;Napoli;Italia;
CORDAZ;CORDAZ Alex;01/01/1983;Vittorio Veneto;Italia;
CORNELIUS;CORNELIUS Andreas;16/03/1993;Copenaghen;Danimarca;
CORREA;CORREA Joaquin;13/08/1994;Juan Bautista Alberdi;Argentina;https://img.a.transfermarkt.technology/portrait/header/227081-1594716192.jpg?lm=1
COULIBALY L.;COULIBALY Lassana;10/04/1996;Bamako;Mali;https://img.a.transfermarkt.technology/portrait/header/386552-1630590210.jpg?lm=1
COULIBALY M.;COULIBALY Mamadou;02/03/1999;Thies;Senegal;
CRAGNO;CRAGNO Alessio;28/06/1994;Compiobbi;Italia;https://img.a.transfermarkt.technology/portrait/header/12907-1595927456.jpg?lm=1
CRESCENZI;CRESCENZI Alessandro;25/09/1991;Marino;Italia;
CRISCITO;CRISCITO Domenico;30/12/1986;Cercola;Italia;
CRISTANTE;CRISTANTE Bryan;03/03/1995;San Vito al Tagliamento;Italia;https://img.a.transfermarkt.technology/portrait/header/199248-1596002965.jpg?lm=1
CRISTOFORO;CRISTOFORO Sebastiano;23/08/1993;Montevideo;Uruguay;
CRNIGOJ;CRNIGOJ Domen;18/11/1995;Koper;Slovenia;
CUADRADO;CUADRADO Juan;26/05/1988;Necocli;Colombia;https://img.a.transfermarkt.technology/portrait/header/91970-1596099724.jpg?lm=1
CUISANCE;CUISANCE Mickael;16/08/1999;Strasburgo;Francia;
CURCIO;CURCIO Felipe;06/08/1993;Jundiai;Brasile;
CUTRONE;CUTRONE Patrick;03/01/1998;Como;Italia;
CYPRIEN;CYPRIEN Wylan;28/01/1995;Les Abymes;Francia;
CZYBORRA;CZYBORRA Lennart;03/05/1999;Berlino;Germania;
DA COSTA;DA COSTA Angelo;12/11/1983;Sao Bernardo do Campo;Brasile;
DABO;DABO Bryan;18/02/1992;Marsiglia;Burkina Faso;
DALBERT;DALBERT;08/09/1993;Barra Mansa;Brasile;
D'ALESSANDRO;D'ALESSANDRO Marco;17/02/1991;Roma;Italia;
DALOT;DALOT Diogo;18/03/1999;Braga;Portogallo;
D'AMBROSIO;D'AMBROSIO Danilo;09/09/1988;Napoli;Italia;
DAMSGAARD;DAMSGAARD Mikkel;03/07/2000;Jyllinge;Danimarca;
DANILO;DANILO;15/07/1991;Bicas;Brasile;https://img.a.transfermarkt.technology/portrait/header/145707-1595925040.jpg?lm=1
DANILO LAR.;DANILO Larangeira;10/05/1984;Sao Bernardo do Campo;Brasile;
DANZI;DANZI Andrea;25/02/1999;San Martino Buon Albergo;Italia;
DARBOE;DARBOE Ebrima;06/06/2001;Bakoteh;Gambia;
DARMIAN;DARMIAN Matteo;02/12/1989;Legnano;Italia;https://img.a.transfermarkt.technology/portrait/header/54906-1604409712.jpg?lm=1
DAWIDOWICZ;DAWIDOWICZ Pawel;20/05/1995;Olsztyn;Polonia;https://img.a.transfermarkt.technology/portrait/header/248732-1595919460.jpg?lm=1
DE ANGELIS;DE ANGELIS Nicolo;31/03/2000;Roma;Italia;
DE KETELAERE;DE KETELAERE Charles;10/03/2001;Bruges;Belgio;https://img.a.transfermarkt.technology/portrait/header/435772-1659601388.jpg?lm=1
DE LIGT;DE LIGT Matthjis;12/08/1999;Leiderdorp;Olanda;
DE MAIO;DE MAIO Sebastien;05/03/1987;Saint-Denis;Francia;
DE PAUL;DE PAUL Rodrigo;24/05/1994;Sarandi;Argentina;
DE ROON;DE ROON Marteen;29/03/1991;Zwijndrecht;Olanda;https://img.a.transfermarkt.technology/portrait/header/133179-1594708388.jpg?lm=1
DE SCIGLIO;DE SCIGLIO Mattia;20/10/1992;Milano;Italia;https://img.a.transfermarkt.technology/portrait/header/88682-1595926180.jpg?lm=1
DE SILVESTRI;DE SILVESTRI Lorenzo;23/05/1988;Roma;Italia;https://img.a.transfermarkt.technology/portrait/header/33571-1595929290.jpg?lm=1
DE VRIJ;DE VRIJ Stefan;05/02/1992;Ouderkerk aan den Ijssel;Olanda;https://img.a.transfermarkt.technology/portrait/header/111196-1593165111.jpg?lm=1
DE WINTER;DE WINTER Koni;12/06/2002;Anversa;Belgio;https://img.a.transfermarkt.technology/portrait/header/490384-1661524152.jpg?lm=1
DEFREL;DEFREL Gregoire;17/06/1991;Meudon;Francia;https://img.a.transfermarkt.technology/portrait/header/163222-1596183445.jpg?lm=1
DEIOLA;DEIOLA Alessandro;01/08/1995;San Gavino Monreale;Italia;
DELL'ORCO;DELL'ORCO Cristian;10/02/1994;Sant'Angelo Lodigiano;Italia;
DEMIRAL;DEMIRAL Merih;05/03/1998;Karamursel;Turchia;https://img.a.transfermarkt.technology/portrait/header/340879-1655706148.jpg?lm=1
DEMME;DEMME Diego;21/11/1991;Herford;Germania;https://img.a.transfermarkt.technology/portrait/header/82070-1661511485.jpg?lm=1
DENSWIL;DENSWIL Stefano;07/05/1993;Zaandam;Olanda;
DEPAOLI;DEPAOLI Fabio;24/04/1997;Riva del Garda;Italia;
DERMAKU;DERMAKU Kastriot;15/01/1992;Scandiano;Albania;
DESSENA;DESSENA Daniele;10/05/1987;Parma;Italia;
DESSERS;DESSERS Cyriel;08/12/1994;Tongeren;Nigeria;https://img.a.transfermarkt.technology/portrait/header/317806-1605540242.jpg?lm=1
DEST;DEST Sergino;03/11/2000;Almere;Stati Uniti;https://img.a.transfermarkt.technology/portrait/header/361104-1581956984.jpg?lm=1
DESTRO;DESTRO Mattia;20/03/1991;Ascoli Piceno;Italia;https://img.a.transfermarkt.technology/portrait/header/88683-1608194488.jpg?lm=1
DEULOFEU;DEULOFEU Gerard;13/03/1994;Riudarenes;Spagna;https://img.a.transfermarkt.technology/portrait/header/129476-1630653606.jpg?lm=1
DI CARMINE;DI CARMINE Samuel;29/09/1988;Firenze;Italia;
DI FRANCESCO F.;DI FRANCESCO Federico;14/06/1994;Pisa;Italia;https://img.a.transfermarkt.technology/portrait/big/38607-1466684133.jpg?lm=1
DI GAUDIO;DI GAUDIO Antonio;16/08/1989;Palermo;Italia;
DI LORENZO;DI LORENZO Giovanni;04/08/1993;Castelnuovo di Garfagnana;Italia;https://img.a.transfermarkt.technology/portrait/header/169880-1661509008.jpg?lm=1
DI MARIA;DI MARIA Angel;14/02/1988;Rosario (ARG);Argentina;https://img.a.transfermarkt.technology/portrait/header/45320-1602849270.jpg?lm=1
DIA;DIA Boulaye;16/11/1996;Oyonnax;Senegal;https://img.a.transfermarkt.technology/portrait/header/626913-1602857522.png?lm=1
DIAWARA;DIAWARA Amadou;17/07/1997;Conakry;Guinea;
DIAZ B.;DIAZ Brahim;03/08/1999;Malaga;Spagna;https://img.a.transfermarkt.technology/portrait/header/314678-1632307989.jpg?lm=1
DIJKS;DIJKS Mitchell;09/02/1993;Purmerend;Olanda;
DIMARCO;DIMARCO Federico;10/11/1997;Milano;Italia;https://img.a.transfermarkt.technology/portrait/header/198116-1661511006.jpg?lm=1
DJIDJI;DJIDJI Koffi;30/11/1992;Bagnolet;Costa d'Avorio;https://img.a.transfermarkt.technology/portrait/header/183031-1661351072.jpg?lm=1
DJIMSITI;DJIMSITI Berat;19/02/1993;Zurigo;Albania;https://img.a.transfermarkt.technology/portrait/header/165513-1594708463.jpg?lm=1
DJURICIC;DJURICIC Filip;30/01/1992;Obrenovac;Serbia;https://img.a.transfermarkt.technology/portrait/header/94307-1596031976.jpg?lm=1
DODO';DODO';17/11/1998;Taubaté;Brasile;https://img.a.transfermarkt.technology/portrait/header/401529-1641992490.png?lm=1
DOMINGUEZ;DOMINGUEZ Nicolas;28/06/1998;Buenos Aires;Argentina;https://img.a.transfermarkt.technology/portrait/header/497291-1578042774.jpg?lm=1
DONNARUMMA AL;DONNARUMMA Alfredo;30/11/1990;Torre Annunziata;Italia;
DONNARUMMA AN.;DONNARUMMA Antonio;07/07/1990;Castellammare di Stabia;Italia;
DONNARUMMA G.;DONNARUMMA Gianluigi;25/02/1999;Castellammare di Stabia;Italia;
DOUGLAS COSTA;DOUGLAS COSTA;14/09/1990;Sapucaia do Sul;Brasile;
DRAGOWSKI;DRAGOWSKI Bartlomiej;19/08/1997;Bialystok;Polonia;https://img.a.transfermarkt.technology/portrait/header/208166-1594710596.jpg?lm=1
DRAGUSIN;DRAGUSIN Radu;03/02/2002;Bucarest;Romania;https://img.a.transfermarkt.technology/portrait/header/568559-1607957380.jpg?lm=1
DUARTE;DUARTE Leo;17/07/1996;Mococa;Brasile;
DUMFRIES;DUMFRIES Denzel;18/04/1996;Rotterdam;Olanda;https://img.a.transfermarkt.technology/portrait/header/321528-1613230012.jpg?lm=1
DUNCAN;DUNCAN Alfred;10/03/1993;Accra;Ghana;https://img.a.transfermarkt.technology/portrait/header/184894-1596004444.jpg?lm=1
DURMISI;DURMISI Riza;08/01/1994;Copenaghen;Danimarca;
DYBALA;DYBALA Paulo;15/11/1993;Laguna Larga;Argentina;https://img.a.transfermarkt.technology/portrait/header/206050-1641810495.jpg?lm=1
DZEKO;DZEKO Edin;17/03/1986;Sarajevo;Bosnia;https://img.a.transfermarkt.technology/portrait/header/28396-1661268909.jpg?lm=1
DZEMAILI;DZEMAILI Blerim;12/04/1986;Tetovo;Svizzera;
EBOSELE;EBOSELE Festy;02/08/2002;Enniscorthy;Irlanda;https://img.a.transfermarkt.technology/portrait/header/586756-1642673454.jpg?lm=1
EDERA;EDERA Simone;09/01/1997;Torino;Italia;
EDERSON D.S.;EDERSON José;07/07/1999;Campo Grande;Brasile;https://img.a.transfermarkt.technology/portrait/header/607854-1646648856.jpg?lm=1
EKDAL;EKDAL Albin;28/07/1989;Stoccolma;Svezia;
EL SHAARAWY;EL SHAARAWY Stephan;27/10/1992;Savona;Italia;https://img.a.transfermarkt.technology/portrait/header/94529-1609843947.jpg?lm=1
EL YAMIQ;EL YAMIQ Jawad;29/02/1992;Khouribga;Marocco;
ELMAS;ELMAS Eljif;24/09/1999;Skopje;Macedonia;https://img.a.transfermarkt.technology/portrait/header/400489-1636975856.jpg?lm=1
EMPEREUR;EMPEREUR Alan;10/03/1994;Ipatinga;Brasile;
ERIKSEN;ERIKSEN Christian;14/02/1992;Middelfart;Danimarca;
ERLIC;ERLIC Martin;24/01/1998;Zara;Croazia;https://img.a.transfermarkt.technology/portrait/header/357003-1602506026.jpg?lm=1
ESCALANTE;ESCALANTE Gonzalo;27/03/1993;Bella Vista;Argentina;https://img.a.transfermarkt.technology/portrait/header/266795-1660052209.jpg?lm=1
ESPOSITO;ESPOSITO Sebastiano;02/07/2002;Castellammare di Stabia;Italia;
EYSSERIC;EYSSERIC Valentin;25/03/1992;Aix-en-Provence;Francia;
FAGIOLI;FAGIOLI Nicolo;12/02/2001;Piacenza;Italia;https://img.a.transfermarkt.technology/portrait/header/432090-1652094961.jpg?lm=1
FALCO;FALCO Filippo;11/02/1992;Pulsano;Italia;
FALCONE;FALCONE Wladimiro;12/04/1995;Roma;Italia;https://img.a.transfermarkt.technology/portrait/header/238537-1613734372.jpg?lm=1
FARAGO';FARAGO Paolo;12/02/1993;Catanzaro;Italia;
FARAONI;FARAONI Davide;25/10/1991;Bracciano;Italia;https://img.a.transfermarkt.technology/portrait/header/73926-1594642007.jpg?lm=1
FARES;FARES Mohamed;15/02/1996;Aubervilliers;Algeria;https://img.a.transfermarkt.technology/portrait/header/287700-1630583213.jpg?lm=1
FARIAS;FARIAS Diego;10/05/1990;Sorocaba;Brasile;
FAVILLI;FAVILLI Andrea;17/05/1997;Pisa;Italia;
FAZIO;FAZIO Federico;17/03/1987;Ramos Mejia;Argentina;https://img.a.transfermarkt.technology/portrait/header/45314-1644915146.jpg?lm=1
FELIPE;FELIPE dal Bello;31/07/1984;Guaratingueta;Brasile;
FELIPE ANDERSON;FELIPE ANDERSON;15/04/1993;Santa Maria;Brasile;https://img.a.transfermarkt.technology/portrait/header/159372-1606396538.png?lm=1
FERRARI A.;FERRARI Alex;01/07/1994;Modena;Italia;
FERRARI G.;FERRARI Gian Marco;15/02/1992;Parma;Italia;https://img.a.transfermarkt.technology/portrait/header/277167-1661513630.jpg?lm=1
FERRER;FERRER Salva;21/01/1998;Martorell;Spagna;
FIAMOZZI;FIAMOZZI Riccardo;18/05/1993;Mezzocorona;Italia;
FLOCCARI;FLOCCARI Sergio;12/11/1981;Vibo Valentia;Italia;
FLORENZI;FLORENZI Alessandro;11/03/1991;Roma;Italia;https://img.a.transfermarkt.technology/portrait/header/130365-1595925261.jpg?lm=1
FOFANA;FOFANA Seko;07/05/1995;Parigi;Costa d'Avorio;
FRATTESI;FRATTESI Davide;22/09/1999;Roma;Italia;https://img.a.transfermarkt.technology/portrait/header/394300-1630506324.jpg?lm=1
FRENDRUP;FRENDRUP Morten;07/04/2001;Holbaek;Danimarca;
FREULER;FREULER Remo;15/04/1992;Ennenda;Svizzera;
FUZATO;FUZATO Daniel;04/07/1997;Santa Barbara d'Oeste;Brasile;
GABBIA;GABBIA Matteo;21/10/1999;Busto Arsizio;Italia;
GABBIADINI;GABBIADINI Manolo;26/11/1991;Calcinate;Italia;https://img.a.transfermarkt.technology/portrait/header/112343-1596183300.jpg?lm=1
GABRIEL;GABRIEL;27/09/1992;Unai;Brasile;
GAETANO;GAETANO Gianluca;05/05/2000;Cimitile;Italia;
GAGLIARDINI;GAGLIARDINI Roberto;07/04/1994;Bergamo;Italia;https://img.a.transfermarkt.technology/portrait/header/197471-1641817964.jpg?lm=1
GAGLIOLO;GAGLIOLO Riccardo;28/04/1990;Imperia;Italia;
GALABINOV;GALABINOV Andrej;27/11/1988;Sofia;Bulgaria;
GALLO;GALLO Antonino;05/01/2000;Palermo;Italia;
GASOLINA WESLEY;WESLEY;13/03/2000;Retirolandia;Brasile;
GASTALDELLO;GASTALDELLO Daniele;25/06/1983;Camposampiero;Italia;
GENDREY;GENDREY Valentin;21/06/2000;La Garenne;Francia;https://img.a.transfermarkt.technology/portrait/header/569387-1633102165.jpg?lm=1
GERVINHO;GERVINHO;27/05/1987;Anyama;Costa d'Avorio;
GHEZZAL;GHEZZAL Rachid;09/05/1992;Decines-Charpieu;Algeria;
GHIGLIONE;GHIGLIONE Paolo;02/02/1997;Voghera;Italia;https://img.a.transfermarkt.technology/portrait/header/313477-1595928086.jpg?lm=1
GHOULAM;GHOULAM Faouzi;01/02/1991;Saint-Priest-en-Jarez;Algeria;
GILA;GILA Mario;29/08/2000;Barcellona;Spagna;https://img.a.transfermarkt.technology/portrait/header/618341-1655977939.jpg?lm=1
GIROUD;GIROUD Olivier;30/09/1986;Chambery;Francia;https://img.a.transfermarkt.technology/portrait/header/82442-1661514565.jpg?lm=1
GLIK;GLIK Kamil;03/02/1988;Jastrzebie-Zdroj;Polonia;
GODIN;GODIN Diego;16/02/1986;Rosario (URU);Uruguay;
GOLDANIGA;GOLDANIGA Edoardo;02/11/1993;Milano;Italia;
GOLLINI;GOLLINI Pierluigi;18/03/1995;Bologna;Italia;https://img.a.transfermarkt.technology/portrait/header/244192-1609842497.jpg?lm=1
GOMEZ;GOMEZ Alejandro;15/02/1988;Buenos Aires;Argentina;
GONZALEZ N.;GONZALEZ Nicolas;06/04/1998;Belen de Escobar;Argentina;https://img.a.transfermarkt.technology/portrait/header/486031-1599992703.jpg?lm=1
GOSENS;GOSENS Robin;05/07/1994;Emmerich am Rhein;Germania;https://img.a.transfermarkt.technology/portrait/header/273132-1616511080.jpg?lm=1
GRASSI;GRASSI Alberto;07/03/1995;Lumezzane;Italia;
GUERRIERI;GUERRIERI Guido;25/02/1996;Roma;Italia;
GUMUS;GUMUS Sinan;15/01/1994;Pfullendorf;Germania;
GUNTER;GUNTER Koray;16/08/1994;Hoxter;Germania;https://img.a.transfermarkt.technology/portrait/header/115763-1630660811.jpg?lm=1
GYASI;GYASI Emmanuel;11/01/1994;Palermo;Ghana;https://img.a.transfermarkt.technology/portrait/header/241076-1602506321.jpg?lm=1
GYOMBER;GYOMBER Norbert;03/07/1992;Banska Bystrica;Slovacchia;https://img.a.transfermarkt.technology/portrait/header/205054-1628669768.jpg?lm=1
HAAS;HAAS Nicolas;23/01/1996;Sursee;Svizzera;https://img.a.transfermarkt.technology/portrait/header/192638-1598856648.jpg?lm=1
HAKIMI;HAKIMI Achraf;04/11/1998;Madrid;Marocco;
HAN;HAN Kwang-Song;21/07/1998;Pyongyang;Corea del Nord;
HANDANOVIC;HANDANOVIC Samir;14/07/1984;Lubiana;Slovenia;https://img.a.transfermarkt.technology/portrait/header/28021-1595849038.jpg?lm=1
HAPS;HAPS Ridgeciano;12/06/1993;Utrecht;Suriname;https://img.a.transfermarkt.technology/portrait/header/228444-1630656845.jpg?lm=1
HARASLIN;HARASLIN Lukas;26/05/1996;Bratislava;Slovacchia;
HATEBOER;HATEBOER Hans;09/01/1994;Beerta;Olanda;https://img.a.transfermarkt.technology/portrait/header/275303-1661509184.jpg?lm=1
