ID;Nome;Data_nascita;Luogo_nascita;Nazionalita;url
THORSTVEDT;THORSTVEDT Kristian;13/03/1999;Stavanger;Norvegia;https://img.a.transfermarkt.technology/portrait/header/564785-1627569546.jpg?lm=1
TOLJAN;TOLJAN Jeremy;08/08/1994;Stoccarda;Germania;https://img.a.transfermarkt.technology/portrait/header/129674-1534236483.jpg?lm=1
TOLOI;TOLOI Rafael;10/10/1990;Gloria d'Oeste;Brasile;https://img.a.transfermarkt.technology/portrait/header/72441-1594708370.jpg?lm=1
TOMIYASU;TOMIYASU Takehiro;05/11/1998;Fukuoka;Giappone;
TOMORI;TOMORI Fikayo;19/12/1997;Calgary;Inghilterra;https://img.a.transfermarkt.technology/portrait/header/303254-1611309323.jpg?lm=1
TOMOVIC;TOMOVIC Nenad;30/08/1987;Kragujevac;Serbia;
TONALI;TONALI Sandro;08/05/2000;Lodi;Italia;https://img.a.transfermarkt.technology/portrait/header/397033-1616775399.jpg?lm=1
TONELLI;TONELLI Lorenzo;17/01/1990;Firenze;Italia;
TORREGROSSA;TORREGROSSA Ernesto;28/06/1992;Caltanisetta;Italia;
TORREIRA;TORREIRA Lucas;11/02/1996;Fray Bentos;Uruguay;
TRAORE' HJ.;TRAORE Hamed Junior;16/02/2000;Abidjan;Costa d'Avorio;
TREMOLADA;TREMOLADA Luca;25/11/1991;Milano;Italia;
TRIPALDELLI;TRIPALDELLI Alessandro;09/02/1999;Napoli;Italia;
TROOST-EKONG;TROOST-EKONG William;01/09/1993;Haarlem;Nigeria;
TUPTA;TUPTA Lubomir;27/03/1998;Presov;Slovacchia;
TUTINO;TUTINO Gennaro;20/08/1996;Napoli;Italia;
UDOGIE;UDOGIE Destiny;28/11/2002;Verona;Italia;https://img.a.transfermarkt.technology/portrait/header/556385-1630653244.jpg?lm=1
UJKANI;UJKANI Samir;05/07/1988;Vucitrn;Kosovo;
UMTITI;UMTITI Samuel;14/11/1993;Yaoundè;Francia;https://img.a.transfermarkt.technology/portrait/header/126540-1598302607.jpg?lm=1
UNDER;UNDER Cengiz;14/07/1997;Balikesir;Turchia;
VALDIFIORI;VALDIFIORI Mirko;21/04/1986;Lugo;Italia;
VALOTI;VALOTI Mattia;06/09/1993;Vicenza;Italia;https://img.a.transfermarkt.technology/portrait/header/167741-1596024307.jpg?lm=1
VANHEUSDEN;VANHEUSDEN Zinho;29/07/1999;Hasselt;Belgio;
VASQUEZ;VASQUEZ Johan;22/10/1998;Navojoa;Messico;https://img.a.transfermarkt.technology/portrait/header/532937-1618415459.jpg?lm=1
